LT05_L1TP_043034_20000116_20160919_01_T1
LT05_L1TP_043034_20000201_20160923_01_T1
LT05_L1TP_043034_20000217_20160919_01_T1
LT05_L1TP_043034_20000304_20160918_01_T1
LT05_L1TP_043034_20000320_20160919_01_T1
LC08_L1TP_043034_20150226_20170301_01_T1
LC08_L1TP_043034_20160604_20170223_01_T1
LE07_L1TP_028031_20140529_20160908_01_T1
LE07_L1TP_028031_20140614_20160905_01_T1
